Time,ARIMA,SARIMA,ETS,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 03:18:55,1647.1171168471308,1655.8600612796035,1539.4069631365253,1689.5292,1426.8324,1675.2451,1527.2291,1529.1886,1674.4238305621493,1750.0
2023-09-08 03:19:00,1766.351242012203,1821.770745771888,1665.1842497561852,1915.4076,1657.8418,1976.6985,1715.3809,2193.8245,1791.805544213366,2200.0
2023-09-08 03:19:05,1853.5261016992688,1996.9575208210404,1910.198184682802,1850.4425,1637.9122,2052.5217,1697.2637,2296.9277,1775.6689487220967,1410.0
2023-09-08 03:19:10,1917.261682020244,2134.325697445926,2191.475766257531,1718.0382,1654.3884,1922.1149,1619.1604,2183.639,1703.7624330245137,1820.0
2023-09-08 03:19:15,1963.860256579856,2183.42024604794,2376.298105820437,1537.1256,1501.1647,1622.0514,1669.3872,2038.274,1658.7812148706926,1290.0
2023-09-08 03:19:20,1640.730462507919,1609.827805833901,1474.143418898745,1643.9796,1610.3635,1635.7281,1612.0736,1294.5654,1617.3485847162865,1650.0
2023-09-08 03:19:25,1627.5340134470866,1545.1721469336046,1228.3083488363552,1739.7893,1648.842,1807.2188,1611.4263,1465.5608,1490.327822706496,1980.0
2023-09-08 03:19:30,1617.8864229026458,1528.873864453405,937.5016771974368,1854.9816,1771.5547,2047.6931,1689.9471,1411.1152,1273.0960878217948,1280.0
2023-09-08 03:19:35,1610.8333131695554,1576.3262733961706,798.9166137435815,1862.7067,1460.482,2188.0505,1736.0344,1786.8783,1121.5843880613163,971.0
2023-09-08 03:19:40,1605.6769628168056,1643.4962865433993,726.3559175389771,1848.1189,1481.955,2159.8801,1687.62,1965.5227,1228.7756370446186,1070.0
2023-09-08 03:19:45,1466.6964560545557,1440.0714975630303,1322.1128998459285,1598.7838,1543.2408,1549.2006,1703.8527,1315.5162,1603.8899110122793,1030.0
2023-09-08 03:19:50,1640.6146242484715,1541.5543835760411,1355.1925388495088,2164.2957,1835.0436,1983.007,2037.6108,1760.8507,1999.0291055644047,2420.0
2023-09-08 03:19:55,1767.7473793969978,1595.8537001433729,1357.69086130853,2346.909,2223.8691,2229.4312,2191.8354,1704.7749,2117.4977229750502,2900.0
2023-09-08 03:20:00,1860.6803811615632,1677.6763886528297,1429.3371878766166,2165.3323,1927.8711,2136.6191,2051.8184,2010.5997,1927.9795828330784,1840.0
2023-09-08 03:20:05,1928.6136435759809,1798.063764205071,1620.2363878144172,1871.7703,1781.9668,1944.6544,1752.9696,1970.2264,1721.2484470454085,1130.0
2023-09-08 03:20:10,1623.8325869870234,1609.557447157445,1551.0128239962094,1832.3752,1925.245,1683.5347,1898.7683,1709.7797,1805.797323327731,1390.0
2023-09-08 03:20:15,1552.6451529748113,1478.668302074881,1283.6230390042597,2203.814,2287.9067,1847.2803,2162.4465,1703.554,2180.957034582273,2430.0
2023-09-08 03:20:20,1500.6243551477858,1331.056257285695,878.8780213470125,2438.648,2507.9614,2148.8545,2388.9233,1646.2903,2555.565544957424,2810.0
2023-09-08 03:20:25,1462.6097329871384,1225.6164066879246,412.3010204970808,2377.8962,2217.0198,2162.9902,2243.5657,2582.8362,2675.6507206436986,3150.0
2023-09-08 03:20:30,1434.830237893235,1198.9586690877354,-99.23344099435374,2104.6606,1698.1034,2170.6729,1978.8054,2464.7107,2595.3627105055875,2880.0
2023-09-08 03:20:35,2491.312290877101,2501.442062862427,2668.713086639136,2613.099,2599.5408,2597.6895,2584.922,2253.5208,2586.114478367648,1130.0
2023-09-08 03:20:40,2415.305577607883,2419.4833198005617,2807.324749164656,2631.773,2547.9265,2379.3782,2647.784,1805.6538,2770.928457094386,2810.0
2023-09-08 03:20:45,2359.784220917385,2301.524736299197,2935.368290308858,2575.5637,2386.5962,2187.267,2579.0774,1487.2377,2933.453326658076,3630.0
2023-09-08 03:20:50,2319.2270001645984,2168.591471748665,3002.167433320554,2408.7175,2422.275,2189.644,2440.987,1646.4791,2773.6704346282586,3580.0
2023-09-08 03:20:55,2289.600776072856,2087.170603041008,3038.371913785195,2247.2527,2268.7598,2199.8618,2041.3334,2039.7723,2282.4292534279657,1570.0
