Time,ARIMA,SARIMA,ETS,GP,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 04:10:45,2132.329655114768,2179.0718843177315,2159.3708029730947,116.43628911929449,3469.078125,3516.373779296875,3822.61962890625,3304.78369140625,4058.058837890625,3421.716226151152,1270.0
2023-09-08 04:10:50,1760.0640936845434,1946.211067362988,2151.833921380358,116.43598083374928,4663.4736328125,4472.50830078125,4879.1337890625,4440.37744140625,5054.07470703125,4480.156372494323,4460.0
2023-09-08 04:10:55,1496.050794825327,1778.6797119136568,2413.326003459216,116.4356722582066,5629.4287109375,5127.9931640625,5809.18896484375,5184.92919921875,5561.67529296875,5113.606533519643,9980.0
2023-09-08 04:11:00,5272.855631566563,5241.254834536946,5999.554121243085,116.61819129493492,4454.798828125,4220.08251953125,4411.07666015625,4426.208984375,5574.728515625,4917.965335073243,2490.0
2023-09-08 04:11:05,5385.711923991769,5317.0986597845485,6977.09588651466,116.6178821479314,3716.86376953125,4348.43603515625,3886.712646484375,4019.00634765625,5222.85205078125,4409.952483495916,3310.0
2023-09-08 04:11:10,5465.690667332665,5453.66359682348,7684.416708713821,116.61757271048022,3504.389892578125,4539.96923828125,3932.92626953125,3752.658447265625,5513.63427734375,4288.963628235508,3790.0
2023-09-08 04:11:15,5522.36982317706,5662.806737083474,7740.355767500623,116.61726298258384,4190.57763671875,5217.36767578125,4260.30029296875,4435.4365234375,5212.86474609375,4607.452876047744,5250.0
2023-09-08 04:11:20,5562.537079788486,5833.449618918054,7085.593426412035,116.61695296424446,5012.86279296875,5467.337890625,5081.361328125,5013.46728515625,5168.04833984375,4831.6612704073805,5450.0
2023-09-08 04:11:25,4838.512708025537,4751.761220211684,4697.690796636295,116.8367556463572,4537.4267578125,3967.481689453125,4754.0234375,4448.0341796875,6194.5166015625,4518.248409729397,5040.0
2023-09-08 04:11:30,4843.366309317365,4529.43317958989,4931.218035604115,116.83644505730813,4188.74072265625,4304.9892578125,4553.89453125,4153.1240234375,6147.89501953125,3768.244704304382,3090.0
2023-09-08 04:11:35,4846.804630851172,4278.515956488714,5046.679905945275,116.8361341772729,4139.8779296875,4981.703125,4278.92578125,4355.08154296875,5620.41748046875,3098.232521361448,2540.0
2023-09-08 04:11:40,4849.240359346164,4140.312862328637,5516.558314357379,116.83582300625363,4721.6650390625,5723.7080078125,4610.44873046875,4885.587890625,5352.8623046875,3015.07936166703,4210.0
2023-09-08 04:11:45,4850.965844657234,4161.9729573593495,6419.949828423394,116.83551154425273,5199.13330078125,5886.43505859375,5171.7626953125,5601.07470703125,5291.22412109375,3683.526825067273,2910.0
2023-09-08 04:11:50,4561.943737705702,4584.341870023087,4695.391975806586,117.00658855902802,4894.74609375,5220.92431640625,4634.32373046875,5003.70458984375,4241.09619140625,4767.829858891837,2770.0
2023-09-08 04:11:55,5184.264346069204,5206.77475012626,5977.841259238424,117.00627652297273,6003.61474609375,5825.5029296875,5206.9755859375,5702.2119140625,5396.689453125,5523.971631101401,8060.000000000001
2023-09-08 04:12:00,5625.151735669514,5568.4396626232765,7501.536162270919,117.00596419551414,6524.17333984375,5977.77783203125,5442.3369140625,6215.259765625,6367.45556640625,5333.278776305122,5670.0
2023-09-08 04:12:05,5937.501491882368,5805.586396372017,9120.40094389209,117.00565157665476,6558.3359375,5733.708984375,5355.3935546875,6117.80615234375,5887.7265625,4348.845664432391,5150.0
2023-09-08 04:12:10,6158.787862296989,6072.495973616783,10469.086292181582,117.00533866639694,6097.27880859375,5254.09912109375,5416.62841796875,5834.38427734375,6110.02001953125,3452.280226568801,1270.0
2023-09-08 04:12:15,2958.7050588812845,3008.38964355934,1894.502031253771,117.22872383157107,3351.510009765625,3624.008544921875,3417.97900390625,3510.6474609375,3414.39794921875,3397.702847690545,1900.0
2023-09-08 04:12:20,2609.11969771682,2715.536886744187,-372.3170261074588,117.22841034887908,4178.80615234375,4779.96875,3929.468505859375,4298.81591796875,3846.86181640625,4101.21540055524,6260.0
2023-09-08 04:12:25,2361.518252706806,2388.834655841366,-2993.433441964288,117.2280965742363,5207.66796875,5072.59814453125,4929.90625,5169.91796875,4777.99462890625,4904.59076441256,6200.0
2023-09-08 04:12:30,2186.149137230014,1987.895814107335,-5250.182233959893,117.2277825076452,6000.14697265625,6013.6669921875,5512.6982421875,5466.2744140625,5277.1337890625,5371.831704515859,3460.0
2023-09-08 04:12:35,2061.940142157838,1613.56579309801,-7624.83429641572,117.22746814910812,5935.12353515625,5776.43359375,5862.9677734375,5549.9921875,5500.8310546875,5586.568602248205,7290.0
2023-09-08 04:12:40,5726.028482491253,5782.895488815893,6154.331217691507,117.45020049543136,5922.056640625,6026.591796875,5687.68798828125,5987.4111328125,5643.8037109375,5750.056531490435,2420.0
2023-09-08 04:12:45,5824.767922918154,6046.055743908444,7154.872635115535,117.44988556362917,6151.56396484375,6188.82763671875,5853.56396484375,6144.64599609375,5970.20654296875,5773.736464097545,7750.0
2023-09-08 04:12:50,5894.676753176908,6321.959293727652,8502.405415983292,117.44957033933028,6281.69482421875,5776.1181640625,6032.48095703125,6255.99169921875,5579.3720703125,5448.197396101584,7340.0
2023-09-08 04:12:55,5944.173129974441,6500.062120140898,10118.876468062124,117.44925482253724,5989.8408203125,5775.39453125,6040.48974609375,5884.2568359375,6159.3662109375,4923.371356476261,3880.0
2023-09-08 04:13:00,5979.21721964116,6537.667049393859,11976.600176416916,117.44893901325229,5884.83203125,5528.91162109375,5932.94091796875,5452.55322265625,5318.52783203125,4692.144514929515,2680.0
2023-09-08 04:13:05,4736.832965926272,4748.52270651104,4553.06778833814,117.70323555502596,5084.78076171875,5716.4462890625,4985.6689453125,5309.05322265625,4574.802734375,4993.790856355988,4530.0
2023-09-08 04:13:10,4768.470264378525,4874.641329457418,4144.151383867449,117.70291917271848,5894.80859375,6022.123046875,5553.8369140625,5796.69775390625,4992.806640625,5569.877825860008,9730.0
2023-09-08 04:13:15,4790.86796738751,5099.297154308559,3083.780041529484,117.70260249728962,6346.46826171875,6250.22509765625,5974.55908203125,6137.16162109375,5931.4736328125,6153.572152478717,4150.0
2023-09-08 04:13:20,4806.72447614839,5305.372547882499,1312.4987166224005,117.70228552874175,6268.48876953125,6014.46533203125,6150.3662109375,6152.984375,6534.16455078125,6816.850488224417,5410.0
2023-09-08 04:13:25,4817.9501304033365,5355.768221457671,-813.1806797895651,117.7019682670772,6099.79052734375,5770.638671875,5873.69482421875,5733.45947265625,6264.40673828125,7635.007634992171,7730.0
2023-09-08 04:13:30,8383.144204402704,8310.995247353992,8813.75047861298,118.00110262629686,8153.96484375,8892.35546875,8503.138671875,8464.3955078125,7094.15869140625,8363.896956683864,10900.0
2023-09-08 04:13:35,8913.143463199336,8706.999435432837,9877.351872742836,118.00078479279468,8278.388671875,8562.9853515625,8215.2158203125,8200.0888671875,7699.0537109375,8668.492942239225,5750.0
2023-09-08 04:13:40,9288.6086199772,9026.729170999532,11295.194648469036,118.0004666654343,7566.2060546875,7206.9765625,7644.45849609375,7587.60205078125,6418.6025390625,8447.557725254832,11500.0
2023-09-08 04:13:45,9554.597829611774,9357.5808733326,13146.561682449785,118.00014824421814,6466.259765625,6060.9638671875,6808.9482421875,6589.69482421875,6525.13818359375,7799.986044997428,4540.0
2023-09-08 04:13:50,9743.031452185927,9657.343963498211,15344.925095154376,117.99982952914856,5912.3154296875,5405.89990234375,5970.26416015625,5782.4375,6249.67529296875,6829.3147664729695,7630.0
2023-09-08 04:13:55,5876.499440359481,5836.2127930241,6133.422043669868,118.38647305158396,5956.34912109375,5719.23974609375,6006.2783203125,5837.1044921875,5805.9345703125,5676.231425486753,8930.0
2023-09-08 04:14:00,5201.242596872432,5058.663395369533,5675.418037625555,118.38615376720044,4806.15283203125,4816.244140625,5414.021484375,5005.62255859375,5762.62353515625,4717.624663153674,1540.0
2023-09-08 04:14:05,4722.6904659616175,4498.94779103055,5312.659976917565,118.38583418800306,4562.6220703125,5102.22119140625,5151.712890625,5011.2568359375,4534.357421875,4444.107129302476,3840.0
2023-09-08 04:14:10,4383.542267452951,4198.9378985911735,4679.790380966388,118.3855143139944,5166.3544921875,4786.7666015625,5137.673828125,4931.0166015625,5375.8427734375,5024.062252373,7090.0
2023-09-08 04:14:15,4143.189141592333,4109.728191618215,3395.466254238921,118.38519414517684,5978.71826171875,5927.99462890625,5475.8017578125,5395.4267578125,5693.47900390625,6172.476440416705,5000.0
2023-09-08 04:14:20,7297.208842734099,7284.937683923458,6597.168005474767,118.6339889104196,7328.96435546875,7480.53564453125,6843.65283203125,7230.265625,7432.7548828125,7420.041255857034,8390.0
2023-09-08 04:14:25,8094.7118350893215,7987.959703401556,6673.589853439452,118.633668163989,7827.36865234375,7473.98681640625,7314.47509765625,7793.33935546875,7442.453125,8310.555102268198,6230.0
2023-09-08 04:14:30,8660.189473597024,8341.726181410551,7114.295611536623,118.63334712213374,7349.96142578125,7102.99072265625,7017.546875,7352.66796875,6753.36376953125,8464.748209799118,10500.0
2023-09-08 04:14:35,9061.147166191886,8504.305785159086,7437.380607225925,118.63302578485649,6527.99951171875,6264.0576171875,6184.15966796875,6537.72314453125,6188.0546875,7776.3323761562915,8380.0
2023-09-08 04:14:40,9345.45031153864,8643.670802534945,8114.636951473404,118.63270415215936,5776.693359375,5375.26708984375,5779.529296875,5609.2216796875,5749.22412109375,6582.440009638985,5390.0
2023-09-08 04:14:45,5467.345934824159,5511.136454911737,5831.378650506126,119.00405034439694,5588.03515625,5193.35107421875,5285.78564453125,5691.7861328125,5815.44482421875,5414.160759037282,4580.0
2023-09-08 04:14:50,4676.341808126576,4799.041157162956,5423.00578316407,119.00372813876209,5132.04931640625,4962.34765625,4679.85009765625,5103.23095703125,5682.6875,4525.913683170573,4340.0
2023-09-08 04:14:55,4115.234415858792,4255.155477618994,5283.60915764833,119.00340563678544,5189.73583984375,5108.2080078125,4821.31494140625,5577.74560546875,5818.3740234375,3857.078660340265,6490.0
2023-09-08 04:15:00,3717.206776013212,3791.411424596645,5385.513486221733,119.0030828384694,5632.9462890625,5337.79296875,5520.46337890625,5711.3720703125,6136.00341796875,3458.0198502496432,2540.0
