Time,ARIMA,RNN,LSTM,CNN,GRU,TCN,Actual,Raw
2023-09-08 02:51:30,6696.507328690676,6998.5835,6005.016,6457.351,6246.2236,5173.642,7577.984786886371,14600.0
2023-09-08 02:51:35,6577.994806000541,6494.6396,5681.558,6070.854,6302.559,4829.7666,7813.19246790505,4930.0
2023-09-08 02:51:40,6493.532928579593,6207.8003,5621.4585,6334.5674,5880.3525,5532.759,7713.425166070472,9310.0
2023-09-08 02:51:45,6433.33837212649,5838.3228,5702.4214,6216.1035,5388.044,6227.423,7644.427523727329,4470.0
2023-09-08 02:51:50,7703.1549343723955,7948.075,7323.91,7205.2383,8020.363,5999.709,7864.355507209293,9630.0
2023-09-08 02:51:55,7744.990592165678,8129.9053,6485.024,6670.206,7799.274,4609.4653,8182.319476626927,8940.0
2023-09-08 02:52:00,7774.793068450126,7830.858,5741.535,5996.289,7250.245,4871.245,8204.416712411485,5710.0
2023-09-08 02:52:05,7796.023464708594,7109.266,5273.748,6157.4854,6478.1704,5011.813,7727.062495879846,11600.0
2023-09-08 02:52:10,7811.14736652768,6232.0435,5296.9565,6080.1396,6285.2637,5630.6016,6920.250956807871,4520.0
2023-09-08 02:52:15,6167.105396959271,5872.076,6394.843,5907.88,5979.3286,5560.707,6175.012753276314,5750.0
2023-09-08 02:52:20,5630.294320920017,5270.748,6135.371,5495.662,5645.7583,4721.8003,5737.958575448013,5650.0
2023-09-08 02:52:25,5247.677537762787,4948.724,5896.423,5474.3574,5331.1963,5094.4272,5599.307509270504,7440.0
2023-09-08 02:52:30,4974.964083648288,5109.212,5473.5625,5729.8257,5701.8525,5716.073,5755.298174524663,6230.0
2023-09-08 02:52:35,4780.58518724609,5632.2915,5467.273,5943.1597,5867.647,5664.562,6251.849926775362,2380.0
2023-09-08 02:52:40,6822.922617839118,7003.9233,6644.16,7058.7847,6888.147,6568.669,6826.6320041525305,6940.0
2023-09-08 02:52:45,7229.95471063576,7637.433,6704.909,6885.0923,6880.8027,5967.2324,6962.708680546899,13300.0
2023-09-08 02:52:50,7520.066857756306,7171.745,6559.7715,6714.4883,6583.493,6542.468,6584.039986342793,2970.0
2023-09-08 02:52:55,7726.844306995286,6632.474,6282.872,6204.3066,6301.256,6386.2397,6235.905023221989,2640.0
2023-09-08 02:53:00,7874.224945614367,6112.063,6038.1865,6099.2646,6177.04,6947.456,6315.990279133816,10800.0
2023-09-08 02:53:05,6580.96607360913,6700.27,6065.994,6709.822,6881.189,5205.6567,6579.248456453483,4110.0
2023-09-08 02:53:10,6769.714380818438,7110.89,6093.772,6816.2114,6973.456,4813.8667,6565.436361378088,8690.0
2023-09-08 02:53:15,6904.164108745184,7559.6094,5947.7964,6375.1016,6455.868,5017.4375,6154.504052175736,5420.0
2023-09-08 02:53:20,6999.935719133882,6531.269,6002.41,6118.436,5958.671,5166.3306,5578.445464151942,5120.0
2023-09-08 02:53:25,7068.156023465342,5809.5625,6070.4224,5795.542,6000.4873,5363.432,5058.699076305109,3630.0
2023-09-08 02:53:30,4660.845267560378,4496.7583,5371.0664,5127.0674,4650.4233,5439.2065,4587.928872977735,7960.0
2023-09-08 02:53:35,4377.366986831281,4423.774,5548.207,5401.8774,4749.186,4904.6216,4097.295857023396,1240.0
2023-09-08 02:53:40,4175.38340924868,4678.6167,5738.3374,5776.2236,5090.7393,5523.2603,3696.396547731543,5360.0
2023-09-08 02:53:45,4031.466332045669,5077.862,5837.9067,5965.694,5516.9565,5966.463,3661.2440446612222,3140.0
2023-09-08 02:53:50,3928.922722517872,5535.9756,5868.7485,6272.2935,5949.2393,5583.9214,4229.510982069801,4980.0
2023-09-08 02:53:55,5008.124930350039,5283.258,4679.192,5330.3794,5255.2637,5000.9116,5326.645841849118,1930.0
2023-09-08 02:54:00,5563.058984718487,6506.155,5027.0464,6152.839,5937.3955,5614.641,6447.201341572713,9190.0
2023-09-08 02:54:05,5958.571812838239,6858.7954,5252.072,7055.454,6306.645,6278.632,7027.41932262345,9410.0
2023-09-08 02:54:10,6240.461878830517,6446.2764,5480.094,6590.3096,6221.7856,5949.687,6989.571704681096,3470.0
2023-09-08 02:54:15,6441.3706829340135,6214.7827,5333.6562,6287.7314,5881.3076,6426.633,6677.811326910689,6210.0
2023-09-08 02:54:20,6383.499829842724,6411.169,6299.363,6723.8086,6802.4106,5955.9614,6347.4491678521335,8960.0
2023-09-08 02:54:25,6173.686304578014,6272.2515,6145.202,6322.557,6406.3105,5487.811,6057.337590498044,4390.0
2023-09-08 02:54:30,6024.111055827745,6426.1294,5843.486,6325.7485,6424.3247,5435.916,5942.103950539131,8109.999999999999
2023-09-08 02:54:35,5917.479440871187,6461.7275,5647.3975,6228.7583,6176.087,5186.584,6197.3026096555495,2100.0
2023-09-08 02:54:40,5841.462175961084,6151.2363,5915.5703,5729.4053,5934.6704,5668.358,6773.987551171676,9850.0
2023-09-08 02:54:45,7352.684179450609,7355.5225,7270.6147,7489.321,7167.216,7069.645,7335.084180464936,7300.0
2023-09-08 02:54:50,7765.354379842976,7286.4717,6729.4087,7580.905,7011.2246,5900.4077,7534.8769561351855,6720.0
2023-09-08 02:54:55,8059.630665499497,6873.42,6803.2896,7240.3657,6716.223,6271.7095,7190.138617628997,5130.0
2023-09-08 02:55:00,8269.479916105574,6334.098,5785.592,6702.0396,6132.213,6419.767,6335.218255662093,12100.0
2023-09-08 02:55:05,8419.124009518293,5864.6206,5552.7905,5891.7925,5648.9336,6398.1978,5345.423847526839,1650.0
2023-09-08 02:55:10,4563.748877560227,4515.0244,4198.873,4777.026,4815.0244,4728.5005,4737.652548358127,2690.0
2023-09-08 02:55:15,4005.942005775275,4778.2446,4447.7134,4587.414,4723.7417,5189.937,4583.466041740203,6870.0
2023-09-08 02:55:20,3607.88844366134,5118.4844,4995.2275,4949.13,4930.119,5364.7876,4403.67300989828,4570.0
2023-09-08 02:55:25,3323.83558177283,5587.8813,5348.3926,5376.856,5273.929,6159.043,3826.408837811453,4730.0
2023-09-08 02:55:30,3121.1341465223704,5690.6807,5770.1436,5780.4854,5645.203,5828.6367,3103.5652240289187,1710.0
2023-09-08 02:55:35,2550.348832949898,2921.4749,2706.1252,2593.6677,2918.2407,4299.611,2892.8037170265047,2660.0
2023-09-08 02:55:40,2155.644185860164,3621.8867,3405.7373,2886.2715,3827.9106,4715.7944,3718.5189999064255,5410.0
2023-09-08 02:55:45,1874.0332991502305,4731.285,4359.9443,3618.3328,4870.168,4256.06,5601.978093554793,3850.0
2023-09-08 02:55:50,1673.1116933412034,5885.3486,5145.53,4497.1523,5531.088,5191.073,7906.170236338218,5240.0
2023-09-08 02:55:55,1529.759665468575,6115.432,5607.1914,5291.2627,6024.8813,5445.7324,9546.256551741975,15700.0
2023-09-08 02:56:00,10414.037496580791,9501.413,9438.616,10153.637,9482.117,9454.322,9719.502887782824,6430.0
2023-09-08 02:56:05,11034.92140878702,8252.796,7935.8,9203.474,8279.269,8111.6885,8532.526631235052,9370.0
